Education_level,27,روضة بنين وبنات
Education_level,28,روضة خاص
Education_level,29,مدرسة احتياجات خاص
Education_level,30,أخرى
Health_Service_Type,1,مستشفى جامعي
Health_Service_Type,2,مستشفى عسكري
Health_Service_Type,3,مستشفى حكومي عام
Health_Service_Type,4,مستشفى خاص
Health_Service_Type,5,مستشفى عيون
Health_Service_Type,6,مستشفى صحة نفسية
Health_Service_Type,7,مستشفى أمراض جلدية
Health_Service_Type,8,مستشفى عظام
Health_Service_Type,9,مستشفى نساء وولادة
Health_Service_Type,10,مستشفى حميات
Health_Service_Type,11,مستشفى علاج الأدمان
Health_Service_Type,12,مستشفى أمراض صدرية
Health_Service_Type,13,مستشفى أطفال
Health_Service_Type,14,عيادة
Health_Service_Type,15,مجمع عيادات
Health_Service_Type,16,مستوصف أهلي
Health_Service_Type,17,مراكز صحية
Health_Service_Type,18,وحدة صحية مدرسية
Health_Service_Type,19,مركز تجميل
Health_Service_Type,20,مركز تصحيح نظر
Health_Service_Type,21,مركز رعاية أمومة وطفولة
Health_Service_Type,22,عيادة أسنان
Health_Service_Type,23,أخرى
Relegion_Service_Type,1,المسجد الحرام
Relegion_Service_Type,2,المسجد النبوي
Relegion_Service_Type,3,مصلى عيد
Relegion_Service_Type,4,مسجد جامع
Relegion_Service_Type,5,مسجد محلي
Relegion_Service_Type,6,مراكز الدعوة والارشاد
Relegion_Service_Type,7,موقع مناسك حج وعمرة
Relegion_Service_Type,10,جمعيات دينية
Relegion_Service_Type,11,مراكز تحفيظ قران
Relegion_Service_Type,12,مطابع دينية
Relegion_Service_Type,13,مطابع المصحف الشريف
Relegion_Service_Type,14,أخرى
Yes_No,1,نعم
Yes_No,2,لا
Solid_wasteType,1,صناعية
Solid_wasteType,2,زراعية
Solid_wasteType,3,منزلية
Solid_wasteType,4,مخلفات تعدين
Solid_wasteType,5,ركام هدم
Solid_wasteType,6,مخلفات بناء
Solid_wasteType,7,نفايات محطات المعالجة
Solid_wasteType,8,مختلط
Solid_wasteType,9,أخرى
Water_Source_Type,1,مياه مالحة
Water_Source_Type,2,مياه أمطار
Water_Source_Type,3,مياه صرف زراعي
Water_Source_Type,4,مياه صرف صحي
Water_Source_Type,5,مياه صرف
Water_Source_Type,6,مياه جوفية عذبة
Water_Source_Type,7,مياه جوفية مالحة
Water_Source_Type,8,أخرى
Well_use_type,1,الزراعة
Well_use_type,2,مياه شرب
Well_use_type,3,صناعة
Well_use_type,4,أخرى
Service_Status,1,نعم
Service_Status,2,لا
ATM_status_Code,1,في الخدمة
ATM_status_Code,2,خارج الخدمة
ATM_status_Code,3,مقترح
Dig_Licence_Type,1,دقيق
Dig_Licence_Type,2,ثقبي
Dig_Licence_Type,3,مفتوح
Dig_Licence_Type,4,أخرى
Soil_Type_Classification,1,Calcaric Arenosols - Lithic Leptosols
Soil_Type_Classification,2,Calcaric Cambisois
Soil_Type_Classification,3,Calcaric Fluvisols - Calcaric Arenosols - Haplic Calcisols
Soil_Type_Classification,4,Calcaric Regosols - Lithic Leptosols - Haplic Calcisols - Rock outcrop
Soil_Type_Classification,5,Eutic Gleysols - Gleyic Cambisols
Soil_Type_Classification,6,Gleyic & Calcaric Arenosols
Soil_Type_Classification,7,Haplic Calcisols
Soil_Type_Classification,8,Lava stones - Calcaric Cambisols
Soil_Type_Classification,9,Lithic & Eutric Leptosols - Rock outcrop - Calcaric Regasols
Soil_Type_Classification,10,Petric Gypsols - Gypsic Solonchaks - Haplic Calcisols
Soil_Type_Classification,11,Rock outcrop - Lithic Leptosols - Calcaric Regasols
Soil_Type_Classification,12,Salic Fluvisols - Water area
Soil_Type_Classification,13,Others
SCS_Soil_Category,1,A
SCS_Soil_Category,2,B
SCS_Soil_Category,3,C
SCS_Soil_Category,4,D
Reserves_Type,1,محمية نباتية
Reserves_Type,2,محمية حيوانية
Reserves_Type,3,محمية بحرية
Reserves_Type,4,أخرى
LIC_BLD_Trans_Types,120,طلب رخصة بناء جديد
LIC_BLD_Trans_Types,121,تجديد رخصة بناء
LIC_BLD_Trans_Types,122,نقل ملكية رخصة بناء
LIC_BLD_Trans_Types,125,لغاء رخصة بناء
LIC_SHP_Trans_Types,101,طلب جديد
LIC_SHP_Trans_Types,102,تجديد رخصة
LIC_SHP_Trans_Types,103,نقلملكية
LIC_SHP_Trans_Types,104,تغيير لوحات
LIC_SHP_Trans_Types,105,تغيير مساحةمحل
LIC_SHP_Trans_Types,106,تغيرنشاط
LIC_SHP_Trans_Types,110,الغاءرخصة
Digging_Status,1,الرخص التي انتهت المدة ولم يبدا في التنفيذ
Digging_Status,2,الرخص التي لم تنتهي المدة وجاري التنفيذ
